No.,"상위분류(왼쪽 상위 메뉴명 혹은 E2B 메뉴(CI, RP 등)",하위분류(하위 메뉴명/기능 혹은 E2B Elements),PV Comments,Updated date of PV Comments,개발자 Comments,Updated date of 개발자 Comments,Updated?
1,General/Common,-,"1. Title: 현재 E2BR3 Safety DB로 되어 있으나 E2B(R3) 준수는 Default이므로 삭제하고 추후 정해지는 Naming(예, QVIS Safety, QVIS NovaSafe, Qaris 등등) 반영 필요
2. Routing page: Organization 정보는 INFO의 Sender Organization 정보와 연동되도록 설정 요망, 크게 QVIS, Client로 구분 후 Client 하위에 등록된 Sender 목록이 생성되도록 구현 요망
3. Manual, Release history 등 User의 Database 관리 문서 확인을 위한 페이지 필요
(또한 UAT 과정에서도 각 페이지/각 기능에 대한 설명/동작 logic 등을 명시한 기본 문서가 있어야 기능에 대한 Test 가능)
4. 하위 탭 제목(CI, RP 등) 및 항목별(C.1.1, C.1.2 등) 가독성 높여주기 바람
5. 로그인 유지 시간 설정 및 시간별로 팝업창, 로그인 시간 연장 기능 필요
6. Review에 대한 용어들이 Validated 등 여러가지 용어로 표시되어 있으며, QC로 통일 필요 (필드명은 QC, QC 체크 후 필드값은 QCed로 표시)
7. 항목 별 예시 입력 내용 삭제 (적절하지 않은 예시로 혼선을 줄 우려가 있기 때문)
8. Notation 기능 추가 시 Auto-translation 기능 탑재 요청 (Preferrred)
9. DG_PRD_KEY 용어 Product ID로 수정 요청",2026-02-25,"완료: Routing page를 QVIS/Client 기준으로 재구성했고, INFO Sender와 연동되도록 정리했습니다. Manual/Release History/UAT Notes 성격의 페이지도 추가했고, 세션 idle warning과 연장 기능도 넣었습니다. 예시 placeholder와 Product ID 용어 정리도 반영했습니다.
미완료: 앱 이름을 configurable 하게 바꾸는 작업과 notation auto-translation은 아직 미구현입니다.

",,
1,General/Common,-,"PV Comments about 2026-02-25
1. Title 부분 E2BR3 삭제된 부분 확인되었으며, 추후 결정되는 Naming 반영 필요
2. Routing page 구분 된 것은 확인하였으나, 아래 문의/요청 사항 확인 필요. 
(1) ""권한"" 시트 의 내용 바탕으로 현재 권한 정리 필요
(2) 현재 Client 에서 구분된 Organization 정보를 관리하는 권한(Admin)의 이름?, Sender 정보에 설정된 것 기준 현재 작동하지 않음 (본 문서에서는 ""권한"" 시트 내용을 기반으로 작성)
(3) Routing page의 system 및 Organization client 정보는 어디의 정보 인지?
(4) user에게 부여된 권한별로 접속 시 해당되는 Organization이 Routing page가 다르게 설정되어야 함. (현재 admin 권한이 아닌 경우 접속이 안되는 것으로 페이지에 출력되어 확인 불가)
3. DATA 메뉴로 추가된 것인지? 위치 조정(예를들어 메뉴 아래 user 정보 및 로그아웃 버튼 위치 등) 필요할 것으로 고려됨.
4. 프론트엔드 부분으로 고려되어, 추가 수정 필요한 부분이 있으면 추후 UAT 과정에서 팀 의견 수렴하여 전달 예정
5. ADMIN의 세팅에서 Idle Session Limit (minutes), Warning Lead Time (minutes)으로 구현된 것이 맞은지? 그렇다면 System 기준으로 관리되게 수정 필요
6. 미반영으로 반영 필요
7. 반영되지 않아 반영 필요
8. 미구현된 부분으로 답변 확인, 추후 반영 필요
9. 현재 확인되는 부분까지는 반영 확인됨",2026-04-02,,,
2,HOME/Dashboard,-,"1. Home 화면에 표시되는 정보 및 섹션 구분을 전체적으로 재구성해 주기 바람
1) 현재 통계 수치 기준 및 집계 범위(아래)가 불명확하며, 표시되는 정보가 대체로 불필요함.
Total case/Pending reveiw/Critical case/Submitted  등의 집계 기준, severity distribution 분류 및 정의, Critical cases의 정의 등
2) 실무적으로 (1)Notice 섹션, (2) 전체 Entry 된 사례 수 및 품목 별 사례 수, (3) (WF를 개발한다면) User 별 To Do list 및 접근 링크
2. Appendix(ICH E2B(R3), MFDS, FDA 등) 선택 기능을 추가: 하나의 case에 대해 2가지 이상의 appendix를 동시에 적용할 수 있도록 개발 요청. cubeSAFETY와 달리 설정된 appendix에 해당하는 regional elements들이 case 페이지에서 모두 나타나도록 설정되도록 반영 요청(Preferred) 예, 필요에 따라 MFDS, FDA 한 가지만 선택하거나 MFDS+FDA를 동시에 선택할 수 있도록, 후자의 경우 각 국가별 항목이 case 페이지에서 동시에 보여지도록 설정) ",2026-02-25,"완료: Dashboard를 실제 운영형 홈으로 전면 개편했고, Notice/실제 case 수/appendix별 수/To Do/Quick Actions/Recent Cases를 반영했습니다. 또한 하나의 case에 복수 appendix를 적용하고, regional fields를 동시에 노출하며, validation/export/submission까지 복수 appendix 흐름으로 처리되도록 구현했습니다.
미완료: 없음.",,
2,HOME/Dashboard,-,"PV Comments about 2026-02-25
1. User 별 To Do list 기재해주셨는데, WF 기능 개발 예정인지? 개발 예정이라면 Safety Database Administrator 이 WF에 대해 지정할 공간이 필요하며 ""WF"" 시트 참조,
나머지 항목은 프론트엔드에서 처리 가능한 부분으로 WF 다른 항목과도 연관되어 UAT 시 추가 의견 전달 예정
2. Case 별 페이지 화면 상단에서 설정사항 확인됨. 다만 아래 내용 수정 필요.
(1) Main 화면 혹은 Case 화면에서 기본적으로 적용할 appendix 선택 부분 상단에 생성 필요
(2) 현재 선택과 drop down 모두 되도록 설정되어 있음. drop down 삭제 필요
(3) [Case(No 3) 관련 의견] Appendix 선택에 따라서 Case의 상세 페이지의 항목들 수정 필요하나 반영되지 않음. FDA 설정 시 추가되는 것은 확인하였으나 MFDS 항목이 선택에 상관 없이 보임.
3. 답변 중 validation/export/submission까지 복수 appendix라는 의미가 출력되는 한개의  XML 출력으로 각 Appendix 처리 하도록 한다는 의미일지?(receiver 태그 여러개 생성 하는 의미?) No 23 부분 의견 참고 필요",2026-04-02,,,
3,CASE,General/Common,"1. 상단의 회색 문구를 SDB에 맞게 수정 (예, Manage and track adverse event cases -> ICSRs)
2. 한 페이지 당 행 갯수 설정하는 기능 추가
3. 가장 최근 생성된 사례가 최상단에 제시되어야 함. 
4. table headings 필요한 항목으로 업데이트 (patient, age/gender, severity 정보 불필요, Date of creation, Date of Most Recent Information for This Report, WW unique no, Type of report, Product ID, Sender, Event(MedDRA), Submission, Status, Deleted 항목 등 필요한 정보로 재구성), Numbering 필요 
5. Case 삭제 시 데이터가 사라지지 않고 취소선 형식으로 남아 있도록 설정 
6. Actions>Edit, Delete 기능은 case 상세 페이지에 반영하고 Case 목록에서는 제외, Case 목록에서 해당 행을 클릭하면 조회/편집 가능하도록 설정
7. Status>checked 표시는 어떤 의미인지? Rewiew 완료의 의미라면 QCed로 표시하는 등 시스템 전체적으로 일관된 용어 사용
8. Case List 추출 기능 필요함.
9. Audit trail을 위해 Save, Delete 시 사유를 선택하고 comments 기재할 수 있는 기능 추가 
10. Source document 업로드 항목, Expectedness, Did reaction abate after stopping drug?, Product ID, Report year(혹은 Report Number, Sequence Number 등) 등 E2B 항목이 아닌 항목들 추가 필요",2026-02-25,"완료: CASE 문구를 ICSRs로 수정했고, page size, 최신순 정렬, row click 상세 진입, soft delete, CSV export, 상세 화면 More 메뉴의 delete dialog, Reviewed 용어 정리를 반영했습니다. 목록 컬럼도 Date of Creation, Date of Most Recent Information, WW Unique No, Type of Report, Product ID, Sender, Event, Submission, Status, Deleted, Report Year, Source Document까지 확장했습니다.
미완료: Save 시점 전반에 reason/comments를 강제하는 범용 compliance UI, Expectedness, Did reaction abate after stopping drug? 같은 추가 비E2B 필드는 아직 미구현입니다.",,
3,CASE,General/Common,"PV Comments about 2026-02-25
1. 의도와 다르게 수정되어 있음(해당 문구 ICSRs 로 수정). 프론트엔드 부분으로 고려되어 추후 반영 여부 재확인 
2. 반영 확인
3. 반영 확인
4. 반영 확인
5. 확인 불가 (현재 삭제되지 않음), 해당 오류 수정 및 확인 필요
6. 반영 확인
7. 미반영 및 의도 재확인 필요. 해당 부분이 WF 기능에 대한 것이면, WF 에 따른 Status 출력 필요.
8. Case list 출력 시 Export Hx 에서로 출력 내역 확인 가능할 수 있도록 수정 필요
(출력 내역 항목 Export file type, File(재다운로드용), Status, error(Status erorr 시), export time, User)
9. Save 반영 필요, Delete 부분 확인 불가, 다만 Delete 적용 시 PW 입력하는 부분 삭제
10. Validation 진행 전 반영 필요",2026-04-02,,,
4,CASE,필터,Table Heading 항목 별로 필터 기능을 활용할 수 있도록 수정,2026-02-25,"완료: CASE 목록 필터를 case no/status뿐 아니라 WW unique no, report type, product ID, sender, event, submission state, deleted state, report year, source document 기준으로 사용할 수 있게 확장했습니다.
미완료: 없음.",,
4,CASE,필터,"PV Comments about 2026-02-25
Heading 항목에서 입력하도록 수정 필요. ",2026-04-02,,,
5,CASE,Status(Review 및 Lock),"1. Review 체크 후에도 데이터 수정이 가능함. Review 체크된 상태에서 수정 불가하도록 설정 요망
2. Lock 버튼이 정상 작동하지 않음",2026-02-25,"완료: review 상태를 reviewed로 재정의했고, UI에는 Reviewed로 통일했습니다. reviewed와 locked 모두 frontend/backend에서 read-only로 동작하도록 반영했습니다.
미완료: 없음.",,
5,CASE,Status(Review 및 Lock),"PV Comments about 2026-02-25
1. (1) 직접 Entry 한 사례 Review 체크 불가하여 확인되지 않음. 다만 용어는 앞서 말한것과 같이 QC 및 체크 시 Qced 로 수정
(2) Import 한 사례 Review 체크시 오류 창이 뜨나 실제 Reviewed 처리됨. (이후 Review 해체 및 Lcok 불가)
2. Lock 버튼도 Review와 동일한 상태",2026-04-02,,,
