No.,"상위분류(왼쪽 상위 메뉴명 혹은 E2B 메뉴(CI, RP 등)",하위분류(하위 메뉴명/기능 혹은 E2B Elements),PV Comments,Updated date of PV Comments,개발자 Comments,Updated date of 개발자 Comments,Updated?
1,General/Common,-,"1. Title: 현재 E2BR3 Safety DB로 되어 있으나 E2B(R3) 준수는 Default이므로 삭제하고 추후 정해지는 Naming(예, QVIS Safety, QVIS NovaSafe, Qaris 등등) 반영 필요
2. Routing page: Organization 정보는 INFO의 Sender Organization 정보와 연동되도록 설정 요망, 크게 QVIS, Client로 구분 후 Client 하위에 등록된 Sender 목록이 생성되도록 구현 요망
3. Manual, Release history 등 User의 Database 관리 문서 확인을 위한 페이지 필요
(또한 UAT 과정에서도 각 페이지/각 기능에 대한 설명/동작 logic 등을 명시한 기본 문서가 있어야 기능에 대한 Test 가능)
4. 하위 탭 제목(CI, RP 등) 및 항목별(C.1.1, C.1.2 등) 가독성 높여주기 바람
5. 로그인 유지 시간 설정 및 시간별로 팝업창, 로그인 시간 연장 기능 필요
6. Review에 대한 용어들이 Validated 등 여러가지 용어로 표시되어 있으며, QC로 통일 필요 (필드명은 QC, QC 체크 후 필드값은 QCed로 표시)
7. 항목 별 예시 입력 내용 삭제 (적절하지 않은 예시로 혼선을 줄 우려가 있기 때문)
8. Notation 기능 추가 시 Auto-translation 기능 탑재 요청 (Preferrred)
9. DG_PRD_KEY 용어 Product ID로 수정 요청",2026-02-25,"2026-03-12 부분 반영: 사용자 노출 브랜딩은 SafetyDB로 유지하되 configurable naming 작업은 이번 pass 범위에서 제외함. Routing page는 INFO Sender master의 senderOrganization 기준으로 QVIS / Client 섹션으로 재구성했고, Client organization 카드 하위에 연결된 sender master 목록이 보이도록 수정함. DATA 페이지의 placeholder를 Manual / Release History / UAT Notes 허브로 교체했고, ADMIN > Settings에 idle session limit / warning lead time 설정을 추가한 뒤 인증된 사용자 전체가 해당 설정을 읽어 inactivity warning popup + Extend session 흐름을 사용하도록 연결함. 또한 로그인/ADMIN/INFO/CASE live form에서 Jane, example.com, 서술형 예시 문구, 다수의 `e.g.` placeholder를 제거하고 neutral label placeholder로 정리함. QC 용어와 Product ID 용어 정리는 기존 pass에서 반영 상태를 유지함. 다만 notation auto-translation은 아직 미구현.",2026-03-12,Partial
2,HOME/Dashboard,-,"1. Home 화면에 표시되는 정보 및 섹션 구분을 전체적으로 재구성해 주기 바람
1) 현재 통계 수치 기준 및 집계 범위(아래)가 불명확하며, 표시되는 정보가 대체로 불필요함.
Total case/Pending reveiw/Critical case/Submitted  등의 집계 기준, severity distribution 분류 및 정의, Critical cases의 정의 등
2) 실무적으로 (1)Notice 섹션, (2) 전체 Entry 된 사례 수 및 품목 별 사례 수, (3) (WF를 개발한다면) User 별 To Do list 및 접근 링크
2. Appendix(ICH E2B(R3), MFDS, FDA 등) 선택 기능을 추가: 하나의 case에 대해 2가지 이상의 appendix를 동시에 적용할 수 있도록 개발 요청. cubeSAFETY와 달리 설정된 appendix에 해당하는 regional elements들이 case 페이지에서 모두 나타나도록 설정되도록 반영 요청(Preferred) 예, 필요에 따라 MFDS, FDA 한 가지만 선택하거나 MFDS+FDA를 동시에 선택할 수 있도록, 후자의 경우 각 국가별 항목이 case 페이지에서 동시에 보여지도록 설정) ",2026-02-25,"2026-03-12 반영 완료: Dashboard를 정적 데모 차트 중심 화면에서 실제 운영 홈으로 전면 재구성했고, Notice/실제 case 수/appendix별 case 수/To Do 링크/Quick Actions/Recent Cases를 추가함. 또한 case 메타데이터에 복수 appendix 선택값을 저장하는 appendices_json 필드를 추가하고, case header에서 ICH/FDA/MFDS를 복수 선택할 수 있게 수정했으며, C.1/C.2.r/D/E/G 등 regional section 표시도 selected appendices 기준으로 동시 노출되도록 변경함. 이어서 case validation에 /api/cases/{id}/validation/all endpoint를 추가하여 선택된 appendix 전부에 대해 한 번에 semantic validation을 수행하고, case form save/QC 전 검증도 이를 사용하도록 보완함. Export/Submission 큐에서도 case별 appendix set을 표시/필터링하고, 선택한 authority appendix가 포함된 case만 export/submission 하도록 제어했으며, 단일 case 선택 시 Export Scope = All selected appendices 옵션으로 여러 appendix XML을 한 번의 액션으로 순차 생성할 수 있게 함. 이번 pass에서는 direct submission도 reason-for-change + e-signature 확인 후 selected authority 또는 case에 연결된 모든 submittable appendices(FDA/MFDS)를 한 번의 액션으로 순차 제출하도록 확장함.",2026-03-12,Done
3,CASE,General/Common,"1. 상단의 회색 문구를 SDB에 맞게 수정 (예, Manage and track adverse event cases -> ICSRs)
2. 한 페이지 당 행 갯수 설정하는 기능 추가
3. 가장 최근 생성된 사례가 최상단에 제시되어야 함. 
4. table headings 필요한 항목으로 업데이트 (patient, age/gender, severity 정보 불필요, Date of creation, Date of Most Recent Information for This Report, WW unique no, Type of report, Product ID, Sender, Event(MedDRA), Submission, Status, Deleted 항목 등 필요한 정보로 재구성), Numbering 필요 
5. Case 삭제 시 데이터가 사라지지 않고 취소선 형식으로 남아 있도록 설정  
6. Actions>Edit, Delete 기능은 case 상세 페이지에 반영하고 Case 목록에서는 제외, Case 목록에서 해당 행을 클릭하면 조회/편집 가능하도록 설정
7. Status>QCed 표시는 어떤 의미인지? Review 완료의 의미라면 QCed로 표시하는 등 시스템 전체적으로 일관된 용어 사용
8. Case List 추출 기능 필요함.
9. Audit trail을 위해 Save, Delete 시 사유를 선택하고 comments 기재할 수 있는 기능 추가 
10. Source document 업로드 항목, Expectedness, Did reaction abate after stopping drug?, Product ID, Report year(혹은 Report Number, Sequence Number 등) 등 E2B 항목이 아닌 항목들 추가 필요",2026-02-25,"2026-03-09 반영: 상단 회색 문구를 ICSRs로 수정, page size 선택(10/25/50) 추가, 생성일 내림차순 정렬 유지 확인, 케이스 목록에 No./Case Number/Status/Date of Creation만 남기고 placeholder 컬럼 제거, 행 클릭으로 상세/편집 이동하도록 변경, reviewed/validated 표시는 Reviewed로 통일. 삭제 이력 유지, 목록 추출, audit trail 사유, 추가 비E2B 항목 등은 아직 미구현.",2026-03-09,Partial
10. Source document 업로드 항목, Expectedness, Did reaction abate after stopping drug?, Product ID, Report year(혹은 Report Number, Sequence Number 등) 등 E2B 항목이 아닌 항목들 추가 필요",2026-02-25,"2026-03-12 부분 반영: CASE 목록을 확장하여 No./Case Number/Date of Creation/Date of Most Recent Information/WW Unique No/Type of Report/Product ID/Sender/Event(MedDRA)/Submission/Status/Deleted/Report Year/Source Document 컬럼을 표시하고, filtered current page 기준 CSV export 기능을 추가함. 목록의 deleted case는 hard delete 대신 status=deleted soft-delete workflow로 남기고 취소선 스타일로 표시되며, 삭제 액션은 목록에서 제거한 채 상세 화면 More 메뉴에 reason-for-change + e-signature 확인 dialog와 함께 배치함. Reviewed 용어, page size, 최신순 정렬, 행 클릭 상세 진입은 유지한다. 다만 save 시점 전체에 대해 reason/comments를 강제 수집하는 범용 compliance UI와 Expectedness / abate-after-stopping-drug 등 추가 비E2B field 확장은 아직 미구현.",2026-03-12,Partial
4,CASE,필터,Table Heading 항목 별로 필터 기능을 활용할 수 있도록 수정,2026-02-25,"2026-03-12 반영 완료: CASE 목록 상단에 column-oriented filter set을 추가하여 case no/status 외에도 WW unique no, report type, product ID, sender, event, submission state, deleted state, report year, source document 기준으로 필터링할 수 있게 함. 필터는 목록에 표시되는 확장 컬럼과 맞춰 동작하며, filtered result 기준 local pagination 및 CSV export도 함께 반영됨.",2026-03-12,Done
5,CASE,Status(Review 및 Lock),"1. Review 체크 후에도 데이터 수정이 가능함. Review 체크된 상태에서 수정 불가하도록 설정 요망
2. Lock 버튼이 정상 작동하지 않음",2026-02-25,"2026-03-12 반영 완료: review 상태를 reviewed로 재정의하고 기존 legacy review 상태는 전면 제거함. reviewed는 사용자 노출 용어로 Reviewed로 표시되며, frontend/backend 모두 reviewed 및 locked case를 read-only로 처리하도록 확장함. lock 버튼은 persisted locked 상태로 정상 저장되고, reviewed/locked 모두 case core route와 case subresource write route 전반에서 수정이 차단되도록 유지함. validator가 blocking issue를 감지한 경우 자동 상태도 reviewed로 동기화되며, 기존 review-complete 데이터는 reviewed로 마이그레이션하는 SQL(35-cases-status-reviewed.sql)로 정리함.",2026-03-12,Done
6,CASE,Case 생성>General,"1. 달력: 
- 시스템 전체가 영어를 기반으로 개발되어 있으므로 달력 또한 같은 언어를 기반으로 설정되어야 함 (Duplication check 페이지에는 한글로 표시됨)
- UK을 허용하는 요소에 UK 기능이 설정되지 않았음 (예, AE Start date), E2B(R3) business rule 적용 요망
2. Validation profile (ICH/FDA/MFDS): duplication check에서 필요한 항목 아니므로 삭제 (해당 항목 설정에 관한 의견은 Home/Dashboard에 대한 검토 의견에서 확인 요망) 
3. 전체적으로 Null flavor 선택 기능이 누락되었음. 
4. 필수 항목(또는 optional mandatory elements) 누락 시 warning message 표시되도록 개발 요망  
5. 각 페이지 상단에 뜨는 메시지(예, Validation rules: cached copy)가 user에게 필요한 것인지? 그렇지 않다면 숨김 처리 


6. 상단 메시지(Red dot means this section has validation issues (blocking or non-blocking). Submission requires zero blocking issues and Validated status.)
- validation error 있어도 red dot 표시되지 않아 Validation 작동 여부 확인 필요
- blocking, non-blocking이 어떤 의미인지? User가 이해할 수 있는 용어로 표현 
7. 입력 창 우측의 ... 표시 동작하지 않음. 기능 구현 필요
8. Notation 기능 필요함 (2개의 언어로 입력해야 하는 경우)
9. 반복 입력 가능한 항목(r, i, k)은 행 형식(cubeSAFETY와 같이 표 형식)으로 제시되도록 변경 요청. (행에는 기본 정보만 제시하고 상세 정보는 행 클릭 시 확인, 수정할 수 있도록) 그렇지 않으면 페이지가 길어져서 각 항목별 입력 정보를 종합적으로 파악하기 어려움 
10. 페이지 우상단의 프린터, 사진, lock, ... 버튼 동작하지 않음. 아이콘 이름 및 기능 재정비 요망, 버튼 클릭 시 즉시 동작하지 않고 재확인하는 팝업창을 뜨도록 설정 요망  
- 프린터: CIOMS, XML 추출 기능 구현되어야 함. (XML 추출 시 Appendix 설정 기능 필요)
- 카메라: screenshot 기능 불필요함. 해당 case의 status(saved, reviewed, locked, deleted 등) 
- 체크 박스: Validate case -> QC로 수정 
- Follow-up 생성, Submission 기능 필요 (cubeSAFETY의 경우 ... 표시에서 선택 가능) 
12. MedDRA 버전은 목록에서 선택되도록 설정해야 함. 현재 검색 기능 사용 불가 (이하 MedDRA 항목 전체)
13. 항목 작성란 옆의 ""..."" 에서 Audit Trail, Notation(해당하는 항목에서), 삭제 기능 추가 필요
14. Save 누르지 않은 채 다른 페이지로 이동하는 경우 저장/취소 선택할 수 있도록 경고창 필요 
15. 국가 정보 입력하는 부분은 전체 동일하게 적용(ISO 3166-1 alpha-2, EU에서 목록을 선택)
16. D.7.1.r.1b 항목 을 포함하여 MedDRA 용어 활용시 MedDRA LLT Term으로 검색하고, 출력은 MedDRA LLT Term과 MedDRA code no가 함께 출력되도록 수정 필요",2026-02-25,"2026-03-12 최종 반영: row 6 범위를 case-form workflow 기준으로 마감함. 달력/날짜 UX는 English(en-US) 기준으로 정리했고 duplication check의 C.1.5 / E.i.4는 browser-locale date widget 대신 explicit E2B `YYYYMMDD` 입력으로 통일했으며, AE(E.i.4/E.i.5), LB(F.r.1), past drug(D.8.r.1), parent past drug(D.10.8.r.1), CI(C.1.2/C.1.4/C.1.5), Patient(D.1/D.2.1/D.2.2a/D.5/D.6/D.9.1/D.10.2.1/D.10.2.2a/D.10.3), history dates(D.7.1.r/D.8.r/D.10.7.1.r/D.10.8.r), DG dosage dates(G.k.4.r.4/G.k.4.r.5)까지 null flavor 저장/복원을 실제 backend 컬럼/SQL과 연결함. duplication check에서는 validation profile 선택을 제거했고, 상단 Validation rules 배지는 숨김 처리했으며, section tab 상단 안내는 사용자 표현으로 단순화하고 required-field review summary가 보이도록 변경함. case header 우상단 액션은 real action+confirm flow로 정리하여 printer는 active appendix XML export, camera는 제거 후 workflow status pill 표시, QC/Lock은 confirm 후 실행, more menu에서는 follow-up draft intake 진입과 Export / Submission 화면 이동이 가능하도록 변경함. repeatable rows는 DH/AE/LB/DG 등 현재 주요 sections에서 grid/table 방식으로 정리되며, field-level `...` action은 audit trail recent history와 notation(local saved note) dialog로 동작함. MedDRA version inputs는 free text 대신 selected term 기반 read-only 표시로 정리했고, MedDRA search/selected label은 `LLT term (code)` 형태로 통일함. country 입력은 reporter/sender/reaction/drug/device 제조국 등 live case-form 주요 country fields에서 raw 2-letter text input 대신 ISO 3166-1 alpha-2 searchable selector로 통일함. 운영 DB에는 28-safety-report-date-null-flavor.sql, 29-patient-history-date-null-flavor.sql, 30-patient-parent-core-null-flavor.sql, 31-patient-lmp-null-flavor.sql, 32-test-result-date-null-flavor.sql, 33-past-drug-name-null-flavor.sql, 34-parent-past-drug-name-null-flavor.sql 적용이 필요함.",2026-03-12,Done
7,CASE,Case 생성>Duplication check ,"1. Type of report 별로 입력 필요한 필수값이 달라지는 부분 반영 필요
2. 중복 case 판정 기준이 무엇인지 확인 필요
- 중복 확인을 위한 필수 항목이 입력되지 않으면 duplication check pass되지 않아야 함.  
- C.1.1, C.1.3, C.1.5, DG_PRD_KEY 정보가 다르더라도 환자 정보 및 AE term/시작일이 동일하다면 duplication 의심사례로 검증되어야 함 
3. duplication check에서 vaildation profile은 중복 case 판정 기준 아님
4. DG_PRD_KEY 항목(Product ID로 항목명 수정 요망)은 case info에서 등록한 Pre-approval IP Name 또는 Brand Name 정보를 선택하도록 설정해야 함. 
5. Duplication Check 에서 중복 의심사례더라도 경고창과 함께 case 생성 가능하도록 설정 필요",2026-02-25,"2026-03-11 반영 완료: duplication check backend 기준을 safety report id 동일 여부에서 환자 signature(초성/조사번호/연령+성별) + Reaction/Event term + AE start date 중심으로 재구성하여, C.1.1/C.1.3/C.1.5/Product ID가 달라도 의심 중복으로 검출되도록 수정함. 중복 판단에 필요한 핵심 입력이 없으면 duplicate check 자체가 통과되지 않도록 막았고, Report from study(type 2)의 경우 sponsor study number 또는 investigation number를 추가 필수 입력으로 강제함. UI에서는 validation profile을 중복 판정 기준처럼 보이지 않게 Initial Active Appendix로 분리 표기했고, Product ID도 INFO의 Product template 선택값(Pre-approval IP Name/Brand Name 등)으로 채울 수 있게 보완했으며, 중복 의심 시에도 Create anyway override로 경고 후 생성 가능하게 변경함.",2026-03-11,Done
8,,Case 생성>CI ,"1. 각 항목명 우측의 물음표 원문자의 기능은?
2. f/u case 선택 드롭다운 박스 (좌측 상단): 현재 연-월-일만 표시됩니다만, 같은 날짜에 생성된 케이스가 여러 개 있을 수 있으므로 C.1.2 기재사항 전체(시/분/초) 표시되도록 설정 요망
3. MFDS Report Type 항목 추가 필요, Non E2B(R3) element로서 Report year 항목 추가
4. C.1.6.1.r.2: 첨부 기능 구현되지 않은 듯
5. Non E2B(R3) element로서 Source document 업로드 항목 추가 필요",2026-02-25,"2026-03-11 반영 완료: CI 섹션의 help 아이콘은 각 필드 설명 tooltip으로 동작하도록 유지했고, linked report 영역에는 follow-up / linked case 선택 드롭다운을 추가하여 case id가 아니라 safety report id + version + C.1.2 시분초 수준 timestamp로 식별 가능하게 개선함. 또한 MFDS Report Type, Report Year, Source Document 업로드를 non-E2B case metadata로 추가하고 backend cases 테이블/REST payload/detail mapping까지 연결했으며, 업로드한 source document는 파일명/base64/media type으로 저장되도록 구현함. 기존 C.1.6.1.r.2 Included Documents 필드는 LR와 별개로 CI 문서영역에서도 유지된다. 운영 환경에서는 신규 SQL(25-cases-ci-metadata.sql) 적용이 필요함.",2026-03-11,Done
9,,Case 생성>RP,"1. Import template: 저장된 정보를 가져 오는 기능임을 직관적으로 알 수 있도록 표현 수정 (예, Import Reporter)
2. Primary Source for Regulatory Purposes(C.2.r.5) 허용되는 값과 상이함. 본 항목을 포함하여 ICH 항목 혹은 Regional 항목들 부합하는지 확인 필요",2026-02-25,"2026-03-11 반영: RP 섹션의 Import Template 버튼 문구를 Import Reporter Template으로 유지하면서, C.2.r.5를 Yes/No(1/2) 값셋으로 전면 정리함. Reporter template/Case RP form/frontend schema/backend primary source API/XML import를 함께 수정해 legacy Unknown(3)은 No(2)로 정규화되도록 처리했고, 여러 reporter가 있을 때 정확히 1명만 regulatory primary로 유지되도록 UI와 backend normalization을 추가함. terminology/schema migration은 26-primary-source-regulatory-normalization.sql 적용 필요.",2026-03-11,Done
